Season,Absence/Suspension,competition,from,until,Days,Games missed,player,url
14/15,Yellow card suspension,LaLiga2,"Feb 15, 2015","Nov 23, 2015",281 Tage,?,Adama Traoré,/adama-traore/profil/spieler/204103
13/14,Yellow card suspension,LaLiga2,"Jun 8, 2014","Aug 24, 2014",77 Tage,1,Adama Traoré,/adama-traore/profil/spieler/204103
13/14,Red card suspension,LaLiga2,"Nov 10, 2013","Nov 17, 2013",7 Tage,1,Adama Traoré,/adama-traore/profil/spieler/204103
21/22,Called up to national team, ,"Jan 3, 2022","Feb 8, 2022",36 Tage,7,Edouard Mendy,/edouard-mendy/profil/spieler/442531
21/22,Yellow card suspension,Liga Portugal,"Feb 21, 2022","Feb 28, 2022",7 Tage,1,Kenji Gorré,/kenji-gorre/profil/spieler/374889
20/21,Yellow card suspension,Liga Portugal,"Feb 11, 2021","Feb 15, 2021",4 Tage,1,Kenji Gorré,/kenji-gorre/profil/spieler/374889
19/20,Yellow card suspension,Liga Portugal 2,"Mar 1, 2020","Mar 9, 2020",8 Tage,1,Kenji Gorré,/kenji-gorre/profil/spieler/374889
18/19,Yellow card suspension,Liga Portugal 2,"Apr 22, 2019","Apr 29, 2019",7 Tage,1,Kenji Gorré,/kenji-gorre/profil/spieler/374889
16/17,Red card suspension,Championship,"Jan 23, 2017","Feb 13, 2017",21 Tage,3,Steven Fletcher,/steven-fletcher/profil/spieler/35099
06/07,Yellow card suspension,European U19 Championship 2006,"Jul 26, 2006","Jul 29, 2006",3 Tage,1,Steven Fletcher,/steven-fletcher/profil/spieler/35099
12/13,Olympic games,,"Jul 9, 2012","Aug 2, 2012",24 Tage,-,Mohamed Diamé,/mohamed-diame/profil/spieler/70950
18/19,Yellow card suspension,LaLiga,"Apr 1, 2019","Apr 3, 2019",2 Tage,1,Mathieu Flamini,/mathieu-flamini/profil/spieler/17396
13/14,Yellow card suspension,Premier League,"Apr 6, 2014","Apr 16, 2014",10 Tage,2,Mathieu Flamini,/mathieu-flamini/profil/spieler/17396
13/14,Red card suspension,Premier League,"Jan 28, 2014","Feb 12, 2014",15 Tage,3,Mathieu Flamini,/mathieu-flamini/profil/spieler/17396
13/14,Yellow card suspension,Premier League,"Nov 11, 2013","Nov 24, 2013",13 Tage,1,Mathieu Flamini,/mathieu-flamini/profil/spieler/17396
12/13,Red card suspension,Serie A,"Apr 15, 2013","Apr 22, 2013",7 Tage,1,Mathieu Flamini,/mathieu-flamini/profil/spieler/17396
21/22,Red card suspension,Premier League,"Oct 25, 2021","Nov 21, 2021",27 Tage,3,Paul Pogba,/paul-pogba/profil/spieler/122153
18/19,Indirect card suspension,UEFA Champions League,"Feb 13, 2019","Mar 7, 2019",22 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
17/18,Red card suspension,Premier League,"Dec 4, 2017","Dec 18, 2017",14 Tage,3,Paul Pogba,/paul-pogba/profil/spieler/122153
17/18,Yellow card suspension,World Cup qualification Europe,"Sep 4, 2017","Oct 8, 2017",34 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
16/17,Yellow card suspension,World Cup qualification Europe,"Nov 12, 2016","Mar 26, 2017",134 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
15/16,Yellow card suspension,Premier League,"May 22, 2016","Aug 15, 2016",85 Tage,?,Paul Pogba,/paul-pogba/profil/spieler/122153
15/16,Yellow card suspension,Serie A,"May 3, 2016","May 9, 2016",6 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
15/16,Yellow card suspension,Serie A,"Dec 1, 2015","Dec 5, 2015",4 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
14/15,Yellow card suspension,Serie A,"Mar 10, 2015","Mar 15, 2015",5 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
13/14,Yellow card suspension,Serie A,"Mar 18, 2014","Mar 24, 2014",6 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
12/13,Red card suspension,Serie A,"May 6, 2013","May 20, 2013",14 Tage,3,Paul Pogba,/paul-pogba/profil/spieler/122153
12/13,Indirect card suspension,World Cup qualification Europe,"Mar 27, 2013","Sep 6, 2013",163 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
12/13,Suspended,Serie A,"Nov 9, 2012","Nov 12, 2012",3 Tage,1,Paul Pogba,/paul-pogba/profil/spieler/122153
20/21,Indirect card suspension,Copa América 2021,"Jul 3, 2021","Jul 7, 2021",4 Tage,1,André Carrillo,/andre-carrillo/profil/spieler/135057
18/19,Red card suspension,Saudi Professional League,"Dec 8, 2018","Dec 15, 2018",7 Tage,2,André Carrillo,/andre-carrillo/profil/spieler/135057
16/17,Yellow card suspension,Liga Portugal,"May 15, 2017","May 21, 2017",6 Tage,1,André Carrillo,/andre-carrillo/profil/spieler/135057
15/16,Suspended, ,"Sep 18, 2015","Jun 30, 2016",286 Tage,43,André Carrillo,/andre-carrillo/profil/spieler/135057
12/13,Yellow card suspension,Liga Portugal,"Dec 11, 2012","Dec 16, 2012",5 Tage,1,André Carrillo,/andre-carrillo/profil/spieler/135057
11/12,Red card suspension,Liga Portugal,"Mar 4, 2012","Mar 12, 2012",8 Tage,1,André Carrillo,/andre-carrillo/profil/spieler/135057
11/12,Yellow card suspension,Liga Portugal,"Feb 20, 2012","Feb 27, 2012",7 Tage,1,André Carrillo,/andre-carrillo/profil/spieler/135057
21/22,Yellow card suspension,2. Bundesliga,"Apr 4, 2022","Apr 11, 2022",7 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
21/22,special leave,,"Jan 25, 2022","Jan 31, 2022",6 Tage,?,Tom Trybull,/tom-trybull/profil/spieler/93831
20/21,No eligibility,Championship,"Oct 16, 2020","Oct 18, 2020",2 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
20/21,Suspended,Championship,"Sep 11, 2020","Oct 4, 2020",23 Tage,4,Tom Trybull,/tom-trybull/profil/spieler/93831
20/21,Suspended,EFL Cup,"Sep 4, 2020","Sep 6, 2020",2 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
16/17,Indirect card suspension,Eredivisie,"Oct 3, 2016","Oct 17, 2016",14 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
15/16,Yellow card suspension,Regionalliga Bayern,"Apr 4, 2016","Apr 11, 2016",7 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
15/16,special leave,,"Jan 3, 2016","Feb 1, 2016",29 Tage,-,Tom Trybull,/tom-trybull/profil/spieler/93831
14/15,Indirect card suspension,Regionalliga Nord,"May 9, 2015","May 18, 2015",9 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
14/15,Indirect card suspension, ,"Feb 23, 2015","Mar 2, 2015",7 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
14/15,Indirect card suspension,Regionalliga Nord,"Feb 22, 2015","Mar 1, 2015",7 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
13/14,Indirect card suspension,2. Bundesliga,"Mar 10, 2014","Mar 17, 2014",7 Tage,1,Tom Trybull,/tom-trybull/profil/spieler/93831
10/11,Red card suspension,DFB-Pokal der Junioren,"Nov 14, 2010","May 23, 2011",190 Tage,3,Tom Trybull,/tom-trybull/profil/spieler/93831
19/20,Indirect card suspension,Championship,"Aug 19, 2019","Aug 21, 2019",2 Tage,1,Joe Williams,/joe-williams/profil/spieler/268185
17/18,Red card suspension,Championship,"Jan 8, 2018","Jan 29, 2018",21 Tage,3,Joe Williams,/joe-williams/profil/spieler/268185
17/18,Yellow card suspension,Championship,"Nov 20, 2017","Nov 22, 2017",2 Tage,1,Joe Williams,/joe-williams/profil/spieler/268185
17/18,Yellow card suspension,Ettan Södra,"Jun 16, 2018","Jun 16, 2018",0 Tage,1,Joel Mumbongo,/joel-mumbongo/profil/spieler/381156
17/18,Yellow card suspension,Eredivisie,"Apr 9, 2018","Apr 16, 2018",7 Tage,1,Juninho Bacuna,/juninho-bacuna/profil/spieler/348863
16/17,Red card suspension,Eredivisie,"Feb 20, 2017","Mar 6, 2017",14 Tage,2,Juninho Bacuna,/juninho-bacuna/profil/spieler/348863
16/17,Indirect card suspension,Eredivisie,"Aug 29, 2016","Sep 12, 2016",14 Tage,1,Juninho Bacuna,/juninho-bacuna/profil/spieler/348863
20/21,Yellow card suspension,EURO 2020,"Jun 23, 2021","Jun 29, 2021",6 Tage,1,Dejan Lovren,/dejan-lovren/profil/spieler/37838
20/21,Yellow card suspension,Premier Liga,"Mar 9, 2021","Mar 14, 2021",5 Tage,1,Dejan Lovren,/dejan-lovren/profil/spieler/37838
20/21,Yellow card suspension,UEFA Champions League,"Nov 25, 2020","Dec 3, 2020",8 Tage,1,Dejan Lovren,/dejan-lovren/profil/spieler/37838
19/20,Yellow card suspension,LaLiga,"Feb 24, 2020","Mar 2, 2020",7 Tage,1,Marc Cucurella,/marc-cucurella/profil/spieler/284857
17/18,Yellow card suspension,LaLiga2,"Jan 22, 2018","Jan 28, 2018",6 Tage,1,Marc Cucurella,/marc-cucurella/profil/spieler/284857
21/22,Red card suspension,Jupiler Pro League,"Mar 25, 2022","Apr 11, 2022",17 Tage,2,Jordi Amat,/jordi-amat/profil/spieler/85289
21/22,Indirect card suspension,Jupiler Pro League,"Mar 21, 2022","Apr 4, 2022",14 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
21/22,Red card suspension,Jupiler Pro League,"Oct 6, 2021","Oct 18, 2021",12 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
20/21,Yellow card suspension,Jupiler Pro League,"Mar 8, 2021","Mar 21, 2021",13 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
19/20,Red card suspension, ,"Sep 23, 2019","Oct 7, 2019",14 Tage,3,Jordi Amat,/jordi-amat/profil/spieler/85289
18/19,Yellow card suspension,LaLiga,"Apr 4, 2019","Apr 7, 2019",3 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
18/19,Yellow card suspension,LaLiga,"Dec 10, 2018","Dec 16, 2018",6 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
17/18,Yellow card suspension,LaLiga,"Apr 8, 2018","Apr 14, 2018",6 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
17/18,Red card suspension,LaLiga,"Dec 23, 2017","Jan 7, 2018",15 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
17/18,Indirect card suspension,LaLiga,"Dec 5, 2017","Dec 11, 2017",6 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
16/17,Yellow card suspension,Premier League,"Jan 1, 2017","Jan 4, 2017",3 Tage,1,Jordi Amat,/jordi-amat/profil/spieler/85289
15/16,Red card suspension,Premier League,"Aug 16, 2015","Sep 15, 2015",30 Tage,3,Adrián,/adrian/profil/spieler/71271
17/18,Indirect card suspension,Scottish Premiership,"Oct 15, 2017","Oct 22, 2017",7 Tage,1,Connor Randall,/connor-randall/profil/spieler/262545
18/19,Red card suspension,Championship,"Jan 7, 2019","Jan 14, 2019",7 Tage,1,Grant Hanley,/grant-hanley/profil/spieler/121385
15/16,Indirect card suspension,Championship,"Mar 21, 2016","Apr 4, 2016",14 Tage,1,Grant Hanley,/grant-hanley/profil/spieler/121385
13/14,Red card suspension,Championship,"Oct 6, 2013","Nov 4, 2013",29 Tage,3,Grant Hanley,/grant-hanley/profil/spieler/121385
21/22,No eligibility,UEFA Champions League,"Sep 3, 2021","Dec 8, 2021",96 Tage,6,Jeremain Lens,/jeremain-lens/profil/spieler/38497
21/22,No eligibility,Süper Lig,"Jul 1, 2021","May 23, 2022",326 Tage,38,Jeremain Lens,/jeremain-lens/profil/spieler/38497
21/22,No eligibility,Türkiye Kupasi,"Jul 1, 2021","Mar 3, 2022",245 Tage,3,Jeremain Lens,/jeremain-lens/profil/spieler/38497
21/22,No eligibility,TFF Süper Kupa,"Jul 1, 2021","Jan 6, 2022",189 Tage,1,Jeremain Lens,/jeremain-lens/profil/spieler/38497
20/21,No eligibility,Süper Lig,"Oct 6, 2020","Jan 5, 2021",91 Tage,11,Jeremain Lens,/jeremain-lens/profil/spieler/38497
20/21,No eligibility,Türkiye Kupasi,"Oct 6, 2020","Jan 5, 2021",91 Tage,1,Jeremain Lens,/jeremain-lens/profil/spieler/38497
19/20,Yellow card suspension,Süper Lig,"Jul 19, 2020","Jul 26, 2020",7 Tage,1,Jeremain Lens,/jeremain-lens/profil/spieler/38497
19/20,Yellow card suspension,Süper Lig,"Dec 22, 2019","Dec 28, 2019",6 Tage,1,Jeremain Lens,/jeremain-lens/profil/spieler/38497
19/20,Red card suspension,Europa League,"Nov 7, 2019","Nov 29, 2019",22 Tage,1,Jeremain Lens,/jeremain-lens/profil/spieler/38497
18/19,Indirect card suspension,Süper Lig,"May 24, 2019","Aug 18, 2019",86 Tage,1,Jeremain Lens,/jeremain-lens/profil/spieler/38497
