season,injury,from,until,days,games,player,url
1819,Knee Injury,2018-10-07,2018-10-19,12,,Aron Gunnarsson,/aron-gunnarsson/profil/spieler/63821
1819,Knee Injury,2018-08-01,2018-10-05,65,8,Aron Gunnarsson,/aron-gunnarsson/profil/spieler/63821
1819,Knee Injury,2019-05-06,2019-05-31,25,1,Sung-yueng Ki,/sung-yueng-ki/profil/spieler/81796
1819,Achilles tendon problems,2019-01-19,2019-02-23,35,6,Sung-yueng Ki,/sung-yueng-ki/profil/spieler/81796
1819,Achilles tendon problems,2019-01-07,2019-01-10,3,,Sung-yueng Ki,/sung-yueng-ki/profil/spieler/81796
1819,Knock,2019-05-06,2019-05-11,5,1,Alex Oxlade-Chamberlain,/alex-oxlade-chamberlain/profil/spieler/143424
1819,Hamstring Injury,2019-03-09,2019-04-12,34,6,Alex Oxlade-Chamberlain,/alex-oxlade-chamberlain/profil/spieler/143424
1819,Knock,2019-02-11,2019-02-22,11,,James Maddison,/james-maddison/profil/spieler/294057
1819,Knee Injury,2018-11-04,2018-11-23,19,1,James Maddison,/james-maddison/profil/spieler/294057
1819,Hamstring Injury,2019-01-28,2019-01-29,1,,Andreas Christensen,/andreas-christensen/profil/spieler/196948
1819,Hamstring Injury,2018-12-20,2018-12-29,9,2,Andreas Christensen,/andreas-christensen/profil/spieler/196948
1819,Knock,2018-09-28,2018-10-03,5,1,Andreas Christensen,/andreas-christensen/profil/spieler/196948
1819,Groin Strain,2019-04-28,2019-05-11,13,1,Étienne Capoue,/etienne-capoue/profil/spieler/63494
1819,Tibia Fracture,2018-12-14,2019-05-05,142,19,Obbi Oulare,/obbi-oulare/profil/spieler/314959
1819,Fitness,2018-10-02,2018-11-23,52,9,Obbi Oulare,/obbi-oulare/profil/spieler/314959
1819,Knock,2019-02-25,2019-03-30,33,3,Sullay Kaikai,/sullay-kaikai/profil/spieler/244130
1819,Fever,2019-02-04,2019-02-10,6,1,Takuma Asano,/takuma-asano/profil/spieler/245744
1819,Muscle Injury,2018-12-16,2019-01-23,38,3,Takuma Asano,/takuma-asano/profil/spieler/245744
1819,Overstretching,2018-10-31,2018-11-26,26,3,Takuma Asano,/takuma-asano/profil/spieler/245744
1819,Bruise,2019-03-18,2019-03-29,11,,André Gomes,/andre-gomes/profil/spieler/221025
1819,Ill,2018-12-18,2018-12-22,4,,André Gomes,/andre-gomes/profil/spieler/221025
1819,Ankle fracture,2018-07-29,2018-10-20,83,22,André Gomes,/andre-gomes/profil/spieler/221025
1819,Calf Injury,2018-11-04,2018-12-02,28,3,Yoshinori Muto,/yoshinori-muto/profil/spieler/230541
1819,Knock,2018-10-07,2018-10-19,12,,Yoshinori Muto,/yoshinori-muto/profil/spieler/230541
1819,Hamstring Injury,2019-02-03,2019-03-30,55,6,Danny Ings,/danny-ings/profil/spieler/134294
1819,Hamstring Injury,2019-01-03,2019-01-18,15,3,Danny Ings,/danny-ings/profil/spieler/134294
1819,Hamstring Injury,2018-11-14,2018-12-15,31,5,Danny Ings,/danny-ings/profil/spieler/134294
1819,Knock,2018-08-26,2018-08-31,5,1,Danny Ings,/danny-ings/profil/spieler/134294
1819,Hamstring Injury,2018-10-30,2018-11-24,25,4,Mohamed Elneny,/mohamed-elneny/profil/spieler/160438
1819,Ankle Injury,2018-11-09,2019-05-31,203,41,Danny Welbeck,/danny-welbeck/profil/spieler/67063
1819,Bruise,2019-04-27,2019-05-11,14,1,Mason Greenwood,/mason-greenwood/profil/spieler/532826
1819,Ill,2019-03-11,2019-04-12,32,3,Mason Greenwood,/mason-greenwood/profil/spieler/532826
1819,Ankle Injury,2019-02-25,2019-05-31,95,17,Andy King,/andy-king/profil/spieler/56872
1819,Groin Injury,2019-04-07,2019-09-13,159,10,James Tomkins,/james-tomkins/profil/spieler/61592
1819,Calf Strain,2019-02-03,2019-02-22,19,2,James Tomkins,/james-tomkins/profil/spieler/61592
1819,Thigh Muscle Strain,2019-01-31,2019-02-01,1,,James Tomkins,/james-tomkins/profil/spieler/61592
1819,Knee Injury,2018-11-11,2018-11-23,12,,James Tomkins,/james-tomkins/profil/spieler/61592
1819,Calf Strain,2018-08-22,2018-09-14,23,3,James Tomkins,/james-tomkins/profil/spieler/61592
1819,Knock,2018-12-13,2019-02-25,74,15,Marcos Rojo,/marcos-rojo/profil/spieler/93176
1819,Knock,2018-10-29,2018-11-30,32,5,Marcos Rojo,/marcos-rojo/profil/spieler/93176
1819,Knock,2018-09-15,2018-10-27,42,9,Marcos Rojo,/marcos-rojo/profil/spieler/93176
1819,Knee Injury,2018-06-30,2018-09-13,75,4,Marcos Rojo,/marcos-rojo/profil/spieler/93176
1819,Ill,2019-02-03,2019-02-22,19,1,Jonas Lössl,/jonas-lossl/profil/spieler/48870
1819,Knock,2018-11-11,2018-11-24,13,,Jonas Lössl,/jonas-lossl/profil/spieler/48870
1819,Ligament Injury,2019-04-10,2019-05-31,51,9,Harry Kane,/harry-kane/profil/spieler/132098
1819,Torn Ankle Ligament,2019-01-14,2019-02-23,40,8,Harry Kane,/harry-kane/profil/spieler/132098
1819,Back Injury,2018-07-04,2018-07-06,2,,Harry Kane,/harry-kane/profil/spieler/132098
1819,Ill,2019-04-22,2019-04-26,4,,Theo Walcott,/theo-walcott/profil/spieler/33713
1819,Bruised Rib,2018-09-02,2018-09-15,13,,Theo Walcott,/theo-walcott/profil/spieler/33713
1819,Achilles tendon rupture,2019-04-23,2019-09-11,141,11,Callum Hudson-Odoi,/callum-hudson-odoi/profil/spieler/392768
1819,Arm Injury,2019-01-31,2019-02-03,3,,Lukasz Fabianski,/lukasz-fabianski/profil/spieler/29692
1819,Hip Injury,2019-01-01,2019-01-12,11,3,Harry Wilson,/harry-wilson/profil/spieler/279455
1819,Groin Injury,2018-08-11,2018-09-16,36,8,Harry Wilson,/harry-wilson/profil/spieler/279455
1819,Unknown Injury,2018-11-04,2019-03-30,146,15,Luka Ilic,/luka-ilic/profil/spieler/429790
1819,Knock,2019-04-21,2019-05-04,13,1,Aaron Mooy,/aaron-mooy/profil/spieler/123951
1819,Knee Injury,2018-12-08,2019-01-29,52,10,Aaron Mooy,/aaron-mooy/profil/spieler/123951
1819,Groin Strain,2018-10-07,2018-10-19,12,,Aaron Mooy,/aaron-mooy/profil/spieler/123951
1819,Knock,2018-08-12,2018-08-24,12,1,Aaron Mooy,/aaron-mooy/profil/spieler/123951
1819,Toe Injury,2019-01-20,2019-02-08,19,3,Matthew Lowton,/matthew-lowton/profil/spieler/102258
1819,Knock,2019-01-03,2019-01-11,8,1,Matthew Lowton,/matthew-lowton/profil/spieler/102258
1819,Knock,2018-12-07,2018-12-21,14,2,Maxime Le Marchand,/maxime-le-marchand/profil/spieler/60558
1819,Cruciate Ligament Surgery,2019-04-13,2020-01-09,271,60,Timothy Fosu-Mensah,/timothy-fosu-mensah/profil/spieler/315131
1819,Shoulder Injury,2018-09-29,2018-10-26,27,3,Timothy Fosu-Mensah,/timothy-fosu-mensah/profil/spieler/315131
1819,Thigh Problems,2019-03-26,2019-04-09,14,2,Reiss Nelson,/reiss-nelson/profil/spieler/340325
1819,Back trouble,2019-01-24,2019-01-30,6,1,Reiss Nelson,/reiss-nelson/profil/spieler/340325
1819,Ankle Injury,2019-04-15,2019-08-17,124,5,Jeffrey Schlupp,/jeffrey-schlupp/profil/spieler/157506
1819,Thumb Injury,2018-11-11,2018-11-24,13,,Asmir Begovic,/asmir-begovic/profil/spieler/33873
1819,Groin Strain,2019-01-27,2019-02-05,9,2,Idrissa Gueye,/idrissa-gueye/profil/spieler/126665
1819,Groin Strain,2018-12-12,2018-12-25,13,2,Idrissa Gueye,/idrissa-gueye/profil/spieler/126665
1819,Ankle Injury,2018-10-15,2018-10-20,5,,Idrissa Gueye,/idrissa-gueye/profil/spieler/126665
1819,Knee Injury,2018-08-25,2018-09-16,22,4,Idrissa Gueye,/idrissa-gueye/profil/spieler/126665
1819,Collarbone fracture,2018-12-13,2019-01-10,28,6,Joel Matip,/joel-matip/profil/spieler/82105
1819,Ankle Injury,2019-03-18,2019-04-20,33,3,Morgan Schneiderlin,/morgan-schneiderlin/profil/spieler/56818
1819,Knock,2018-12-01,2018-12-14,13,3,Morgan Schneiderlin,/morgan-schneiderlin/profil/spieler/56818
1819,Strain,2018-08-19,2018-08-31,12,2,Morgan Schneiderlin,/morgan-schneiderlin/profil/spieler/56818
1819,Hamstring Injury,2019-04-22,2019-05-31,39,3,Joe Ralls,/joe-ralls/profil/spieler/195680
1819,Knock,2019-02-24,2019-03-01,5,1,Joe Ralls,/joe-ralls/profil/spieler/195680
1819,Knee Injury,2018-10-07,2018-11-08,32,3,Joe Ralls,/joe-ralls/profil/spieler/195680
1819,Achilles tendon problems,2019-02-06,2020-01-02,330,38,Matty James,/matty-james/profil/spieler/73522
1819,Knock,2018-08-09,2018-09-07,29,5,Leander Dendoncker,/leander-dendoncker/profil/spieler/168157
1819,Hamstring Injury,2019-04-14,2019-04-26,12,1,Nathaniel Clyne,/nathaniel-clyne/profil/spieler/85177
1819,Knock,2018-11-27,2018-12-15,18,5,Nathaniel Clyne,/nathaniel-clyne/profil/spieler/85177
1819,Groin Surgery,2019-04-13,2019-05-31,48,9,Harry Winks,/harry-winks/profil/spieler/249126
1819,Groin Injury,2019-03-01,2019-04-03,33,5,Harry Winks,/harry-winks/profil/spieler/249126
1819,Muscle Injury,2019-05-01,2019-05-10,9,1,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Muscle Injury,2019-03-07,2019-04-01,25,3,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Muscle Injury,2018-11-01,2018-12-01,30,3,Douglas Luiz,/douglas-luiz/profil/spieler/447661
1819,Knee Injury,2018-12-03,2019-01-18,46,9,Danny Ward,/danny-ward/profil/spieler/124172
1819,Thigh muscle rupture,2018-11-19,2018-12-17,28,6,Ryan Babel,/ryan-babel/profil/spieler/16135
1819,Unknown Injury,2018-10-24,2018-10-30,6,2,Ryan Babel,/ryan-babel/profil/spieler/16135
1819,Unknown Injury,2018-08-21,2018-08-24,3,1,Ryan Babel,/ryan-babel/profil/spieler/16135
1819,Ill,2018-12-26,2018-12-28,2,1,Pablo Zabaleta,/pablo-zabaleta/profil/spieler/20007
1819,Ill,2018-11-26,2018-12-01,5,1,Divock Origi,/divock-origi/profil/spieler/148368
1819,Knock,2019-02-03,2019-03-15,40,5,Ciaran Clark,/ciaran-clark/profil/spieler/98240
1819,Ankle Injury,2018-12-16,2019-01-11,26,5,Ciaran Clark,/ciaran-clark/profil/spieler/98240
1819,Knock,2018-10-15,2018-11-08,24,3,Ciaran Clark,/ciaran-clark/profil/spieler/98240
1819,Knee Injury,2018-11-05,2018-12-07,32,4,Emerson Hyndman,/emerson-hyndman/profil/spieler/223047
1819,Concussion,2019-05-05,2019-05-11,6,1,Mohamed Salah,/mohamed-salah/profil/spieler/148455
1819,Thigh Problems,2018-10-13,2018-10-18,5,,Mohamed Salah,/mohamed-salah/profil/spieler/148455
1819,Knock,2018-10-29,2018-11-03,5,1,James McArthur,/james-mcarthur/profil/spieler/41416
1819,Shoulder Injury,2018-07-26,2019-01-04,162,28,Nick Pope,/nick-pope/profil/spieler/192080
1819,Knock,2019-06-30,2019-07-02,2,1,Mix Diskerud,/mix-diskerud/profil/spieler/103559
1819,Shinbone injury,2019-01-28,2019-02-01,4,,Havard Nordtveit,/havard-nordtveit/profil/spieler/42234
1819,Ankle fracture,2018-11-29,2019-01-08,40,6,Havard Nordtveit,/havard-nordtveit/profil/spieler/42234
1819,Muscular problems,2018-09-29,2018-10-04,5,2,Havard Nordtveit,/havard-nordtveit/profil/spieler/42234
1819,Hamstring Injury,2019-04-25,2019-04-26,1,,Stuart Armstrong,/stuart-armstrong/profil/spieler/130765
1819,Calf Strain,2019-02-03,2019-02-23,20,1,Stuart Armstrong,/stuart-armstrong/profil/spieler/130765
1819,Unknown Injury,2019-01-03,2019-01-11,8,1,Stuart Armstrong,/stuart-armstrong/profil/spieler/130765
