season,details,from,until,days,games,reason,player,url
2021,Ill,2020-12-25,2021-01-01,7,2,injury,,/david-luiz/profil/spieler/46741
2021,Head injury,2020-12-01,2020-12-15,14,4,injury,,/david-luiz/profil/spieler/46741
2021,Knock,2020-11-27,2020-11-28,1,,injury,,/david-luiz/profil/spieler/46741
2021,Hamstring injury,2020-10-26,2020-11-03,8,2,injury,,/david-luiz/profil/spieler/46741
2021,Neck injury,2020-09-11,2020-09-18,7,1,injury,,/david-luiz/profil/spieler/46741
2021,Red card suspension,2021-02-03,2021-02-07,4,1,suspension,,/david-luiz/profil/spieler/46741
2021,Corona virus,2021-01-03,2021-01-19,16,5,injury,,/eric-garcia/profil/spieler/466794
2021,Knock,2020-12-10,2021-01-02,23,5,injury,,/eric-garcia/profil/spieler/466794
2021,Head injury,2020-09-20,2020-09-26,6,2,injury,,/eric-garcia/profil/spieler/466794
2021,Fitness,2020-09-11,2020-10-03,22,6,injury,,/ola-aina/profil/spieler/236490
2021,Knock,2020-12-30,2021-05-31,152,30,injury,,/michael-obafemi/profil/spieler/444208
2021,Groin strain,2021-01-03,2021-01-26,23,4,injury,,/adam-lallana/profil/spieler/43530
2021,Groin strain,2020-12-28,2021-01-01,4,1,injury,,/adam-lallana/profil/spieler/43530
2021,Groin strain,2020-11-29,2020-12-15,16,2,injury,,/adam-lallana/profil/spieler/43530
2021,Groin strain,2020-11-22,2020-11-27,5,,injury,,/adam-lallana/profil/spieler/43530
2021,Calf injury,2021-01-14,2021-02-08,25,7,injury,,/pablo-mari/profil/spieler/210178
2021,Ankle injury,2020-06-15,2020-12-03,171,31,injury,,/pablo-mari/profil/spieler/210178
2021,Knock,2021-01-24,2021-02-14,21,5,injury,,/enda-stevens/profil/spieler/85706
2021,Knock,2021-01-03,2021-01-16,13,2,injury,,/enda-stevens/profil/spieler/85706
2021,Knee injury,2020-11-08,2020-12-12,34,6,injury,,/enda-stevens/profil/spieler/85706
2021,Corona virus,2021-03-20,2021-04-03,14,3,injury,,/sebastien-haller/profil/spieler/181375
2021,Knock,2020-10-06,2020-10-22,16,3,injury,,/sebastien-haller/profil/spieler/181375
2021,Knock,2021-01-31,2021-02-12,12,2,injury,,/joel-ward/profil/spieler/92572
2021,Groin injury,2020-10-19,2020-11-22,34,3,injury,,/joel-ward/profil/spieler/92572
2021,Shin injury,2021-03-22,2021-05-31,70,14,injury,,/ben-davies/profil/spieler/192765
2021,Corona virus,2021-04-17,2021-04-27,10,1,injury,,/kenny-tete/profil/spieler/206746
2021,Fitness,2020-11-21,2020-12-27,36,7,injury,,/kenny-tete/profil/spieler/206746
2021,Calf injury,2020-09-20,2020-11-21,62,14,injury,,/kenny-tete/profil/spieler/206746
2021,Quarantine,2021-06-08,2021-06-11,3,,injury,,/diego-llorente/profil/spieler/246291
2021,Hamstring injury,2021-01-26,2021-02-22,27,6,injury,,/diego-llorente/profil/spieler/246291
2021,Groin injury,2020-12-06,2021-01-15,40,7,injury,,/diego-llorente/profil/spieler/246291
2021,Groin injury,2020-10-11,2020-12-04,54,10,injury,,/diego-llorente/profil/spieler/246291
2021,Virus,2020-11-21,2020-12-11,20,3,injury,,/jake-livermore/profil/spieler/61832
2021,Knock,2021-05-08,2021-05-31,23,6,injury,,/naby-keita/profil/spieler/302215
2021,Ankle injury,2020-12-20,2021-02-18,60,19,injury,,/naby-keita/profil/spieler/302215
2021,Ligament injury,2020-12-10,2020-12-15,5,1,injury,,/naby-keita/profil/spieler/302215
2021,Foot injury,2021-04-04,2021-06-01,58,9,injury,,/jamaal-lascelles/profil/spieler/183318
2021,Hamstring strain,2021-01-31,2021-02-14,14,2,injury,,/jamaal-lascelles/profil/spieler/183318
2021,Corona virus,2020-11-25,2020-12-10,15,1,injury,,/jamaal-lascelles/profil/spieler/183318
2021,Muscle fatigue,2020-11-22,2021-01-17,56,10,injury,,/jamaal-lascelles/profil/spieler/183318
2021,Hip injury,2020-09-28,2020-10-16,18,2,injury,,/jamaal-lascelles/profil/spieler/183318
2021,Ankle problems,2020-07-12,2020-09-01,51,3,injury,,/jamaal-lascelles/profil/spieler/183318
2021,Shoulder injury,2020-12-15,2020-12-26,11,3,injury,,/japhet-tanganga/profil/spieler/346478
2021,Thigh problems,2020-09-30,2020-11-25,56,15,injury,,/japhet-tanganga/profil/spieler/346478
2021,Hamstring strain,2020-08-22,2020-09-28,37,7,injury,,/japhet-tanganga/profil/spieler/346478
2021,Knock,2021-01-30,2021-02-06,7,2,injury,,/sadio-mane/profil/spieler/200512
2021,Corona virus,2020-10-02,2020-10-16,14,2,injury,,/sadio-mane/profil/spieler/200512
2021,Hamstring strain,2021-02-03,2021-03-01,26,8,injury,,/wesley-fofana/profil/spieler/475411
2021,Knee injury,2020-12-27,2021-01-02,6,1,injury,,/wesley-fofana/profil/spieler/475411
2021,Knee injury,2020-11-09,2020-11-21,12,5,injury,,/wesley-fofana/profil/spieler/475411
2021,Hamstring injury,2020-12-30,2021-02-05,37,7,injury,,/mohammed-salisu/profil/spieler/563963
2021,Knock,2020-09-11,2020-09-25,14,3,injury,,/mohammed-salisu/profil/spieler/563963
2021,Hamstring injury,2020-07-07,2020-07-27,20,4,injury,,/mohammed-salisu/profil/spieler/563963
2021,Hamstring strain,2021-02-03,2021-02-14,11,2,injury,,/george-baldock/profil/spieler/146690
2021,Knock,2021-01-03,2021-01-16,13,2,injury,,/george-baldock/profil/spieler/146690
2021,Virus,2020-11-21,2020-12-05,14,2,injury,,/kieran-gibbs/profil/spieler/44792
2021,Ankle injury,2021-01-03,2021-04-05,92,15,injury,,/kortney-hause/profil/spieler/233124
2021,Groin injury,2020-10-02,2020-12-11,70,7,injury,,/kortney-hause/profil/spieler/233124
2021,Broken foot,2020-10-04,2021-01-01,89,22,injury,,/morgan-gibbs-white/profil/spieler/429014
2021,Groin surgery,2021-05-10,2021-08-23,105,5,injury,,/daniel-podence/profil/spieler/256977
2021,Adductor injury,2021-02-06,2021-04-01,54,8,injury,,/daniel-podence/profil/spieler/256977
2021,Thigh problems,2020-12-30,2021-01-26,27,5,injury,,/daniel-podence/profil/spieler/256977
2021,Shoulder injury,2020-09-22,2020-10-03,11,1,injury,,/daniel-podence/profil/spieler/256977
2021,Knee injury,2021-02-28,2021-03-15,15,2,injury,,/miguel-almiron/profil/spieler/272999
2021,Knock,2020-11-14,2020-11-20,6,1,injury,,/miguel-almiron/profil/spieler/272999
2021,Ankle injury,2021-01-12,2021-02-24,43,10,injury,,/alireza-jahanbakhsh/profil/spieler/213268
2021,Hamstring injury,2020-10-01,2020-11-05,35,5,injury,,/alireza-jahanbakhsh/profil/spieler/213268
2021,Broken finger,2020-09-10,2020-11-21,72,9,injury,,/simon-moore/profil/spieler/123536
2021,Ankle injury,2020-10-26,2020-11-06,11,1,injury,,/raphinha/profil/spieler/411295
2021,Knock,2020-11-24,2020-12-15,21,3,injury,,/tyrick-mitchell/profil/spieler/730893
2021,Knock,2020-10-25,2020-11-22,28,5,injury,,/tyrick-mitchell/profil/spieler/730893
2021,Groin surgery,2021-01-21,2021-02-04,14,4,injury,,/jamie-vardy/profil/spieler/197838
2021,Groin injury,2021-01-04,2021-01-14,10,1,injury,,/jamie-vardy/profil/spieler/197838
2021,Calf strain,2020-10-19,2020-10-22,3,1,injury,,/jamie-vardy/profil/spieler/197838
2021,muscular problems,2021-02-19,2021-02-24,5,1,injury,,/shkodran-mustafi/profil/spieler/88590
2021,Quarantine,2021-02-01,2021-02-05,4,1,injury,,/shkodran-mustafi/profil/spieler/88590
2021,Muscle injury,2020-07-19,2020-10-24,97,12,injury,,/shkodran-mustafi/profil/spieler/88590
2021,Cruciate ligament injury,2020-12-19,2021-11-21,337,51,injury,,/sam-hughes/profil/spieler/395797
2021,Hamstring injury,2021-02-10,2021-02-18,8,2,injury,,/matej-vydra/profil/spieler/101500
2021,Back injury,2020-12-18,2021-01-11,24,4,injury,,/matej-vydra/profil/spieler/101500
2021,Groin surgery,2021-02-26,2021-05-19,82,18,injury,,/jordan-henderson/profil/spieler/61651
2021,Knock,2020-11-16,2020-11-27,11,3,injury,,/jordan-henderson/profil/spieler/61651
2021,Hip problems,2020-10-02,2020-10-03,1,,injury,,/jordan-henderson/profil/spieler/61651
2021,Hip problems,2021-01-28,2021-01-31,3,1,injury,,/bukayo-saka/profil/spieler/433177
2021,Ankle injury,2020-12-30,2021-01-01,2,,injury,,/bukayo-saka/profil/spieler/433177
2021,Hamstring injury,2020-11-23,2020-11-28,5,1,injury,,/bukayo-saka/profil/spieler/433177
2021,Ill,2021-02-01,2021-02-05,4,1,injury,,/alisson/profil/spieler/105470
2021,Hip injury,2020-11-29,2020-12-12,13,3,injury,,/alisson/profil/spieler/105470
2021,Shoulder injury,2020-10-03,2020-10-23,20,5,injury,,/alisson/profil/spieler/105470
2021,Ill,2020-09-21,2020-09-27,6,1,injury,,/alisson/profil/spieler/105470
2021,Virus,2020-11-09,2020-11-20,11,3,injury,,/callum-robinson/profil/spieler/183299
2021,Ill,2020-10-10,2020-10-18,8,2,injury,,/callum-robinson/profil/spieler/183299
2021,Knock,2021-02-01,2021-03-02,29,7,injury,,/ibrahima-diallo/profil/spieler/413032
2021,Knock,2020-11-02,2020-11-05,3,,injury,,/ibrahima-diallo/profil/spieler/413032
2021,Cruciate ligament tear,2021-03-01,2022-01-07,312,36,injury,,/timothy-fosu-mensah/profil/spieler/315131
2021,Ankle injury,2020-12-18,2020-12-21,3,1,injury,,/aaron-cresswell/profil/spieler/92571
2021,Groin injury,2020-11-01,2020-11-07,6,1,injury,,/aaron-cresswell/profil/spieler/92571
2021,Knock,2021-01-08,2021-01-12,4,1,injury,,/raheem-sterling/profil/spieler/134425
2021,Calf strain,2020-11-14,2020-11-20,6,2,injury,,/raheem-sterling/profil/spieler/134425
2021,Knock,2021-01-12,2021-02-09,28,7,injury,,/jason-steele/profil/spieler/73564
2021,Hamstring injury,2020-07-01,2020-07-25,24,6,injury,,/sean-longstaff/profil/spieler/346707
2021,Hamstring injury,2021-02-11,2021-02-19,8,2,injury,,/dominic-calvert-lewin/profil/spieler/306024
2021,Muscle injury,2021-01-02,2021-01-26,24,3,injury,,/dominic-calvert-lewin/profil/spieler/306024
2021,Knee injury,2021-02-28,2021-06-30,122,16,injury,,/harvey-barnes/profil/spieler/398065
2021,Calf injury,2020-11-22,2020-12-11,19,1,injury,,/andy-carroll/profil/spieler/48066
2021,Hip injury,2020-11-14,2020-11-18,4,2,injury,,/andrew-robertson/profil/spieler/234803
2021,Hamstring injury,2021-03-15,2021-04-05,21,4,injury,,/heung-min-son/profil/spieler/91845
2021,Hamstring injury,2020-09-28,2020-10-05,7,3,injury,,/heung-min-son/profil/spieler/91845
2021,unknown injury,2020-11-09,2020-12-10,31,3,injury,,/frederik-alves/profil/spieler/542690
2021,unknown injury,2021-05-13,2021-10-25,165,24,injury,,/oskar-buur/profil/spieler/293283
2021,unknown injury,2021-04-07,2021-04-22,15,4,injury,,/oskar-buur/profil/spieler/293283
2021,unknown injury,2021-03-18,2021-04-01,14,1,injury,,/oskar-buur/profil/spieler/293283
2021,unknown injury,2021-03-04,2021-03-11,7,1,injury,,/oskar-buur/profil/spieler/293283
2021,unknown injury,2021-02-18,2021-02-22,4,1,injury,,/oskar-buur/profil/spieler/293283
2021,Hamstring strain,2021-01-06,2021-01-29,23,7,injury,,/moussa-djenepo/profil/spieler/485424
2021,Hamstring injury,2020-10-05,2020-10-31,26,3,injury,,/moussa-djenepo/profil/spieler/485424
2021,Head injury,2020-07-12,2020-07-15,3,,injury,,/chris-basham/profil/spieler/52495
2021,Toe injury,2020-09-16,2020-09-29,13,4,injury,,/james-tarkowski/profil/spieler/173504
2021,Knock,2020-11-30,2020-12-05,5,1,injury,,/hugo-lloris/profil/spieler/17965
2021,Knock,2020-11-22,2020-11-28,6,1,injury,,/hugo-lloris/profil/spieler/17965
2021,Ankle injury,2020-11-19,2020-11-21,2,,injury,,/neco-williams/profil/spieler/503680
2021,Ill,2020-11-07,2020-11-09,2,1,injury,,/neco-williams/profil/spieler/503680
2021,Quarantine,2020-09-12,2020-09-20,8,2,injury,,/neco-williams/profil/spieler/503680
2021,Ill,2020-07-21,2020-07-23,2,1,injury,,/neco-williams/profil/spieler/503680
2021,Back injury,2020-09-18,2020-12-01,74,16,injury,,/kamil-grosicki/profil/spieler/37920
2021,surgery,2020-12-18,2021-03-21,93,20,injury,,/sander-berge/profil/spieler/333014
2021,bruise,2020-11-08,2020-11-21,13,2,injury,,/sander-berge/profil/spieler/333014
2021,Ligament injury,2021-05-08,2021-05-22,14,4,injury,,/andreas-christensen/profil/spieler/196948
2021,Knock,2021-02-12,2021-02-14,2,,injury,,/andreas-christensen/profil/spieler/196948
2021,Knee injury,2021-01-01,2021-01-16,15,3,injury,,/andreas-christensen/profil/spieler/196948
2021,unknown injury,2020-11-25,2020-12-18,23,6,injury,,/andreas-christensen/profil/spieler/196948
2021,Hamstring injury,2020-08-01,2020-11-03,94,14,injury,,/jake-eastwood/profil/spieler/526873
2021,Yellow card suspension,2020-12-14,2020-12-16,2,1,suspension,,/hector-bellerin/profil/spieler/191217
2021,Knee injury,2020-09-22,2023-07-01,1012,145,injury,,/jack-oconnell/profil/spieler/212829
2021,Cruciate ligament tear,2021-02-10,2022-01-07,331,68,injury,,/james-justin/profil/spieler/413220
2021,Hamstring strain,2021-02-08,2021-02-15,7,2,injury,,/timo-werner/profil/spieler/170527
2021,Inner ligament injury,2020-09-05,2020-12-11,97,13,injury,,/dwight-gayle/profil/spieler/196522
2021,Muscle injury,2020-10-04,2020-11-24,51,8,injury,,/benjamin-mendy/profil/spieler/157495
2021,Knock,2020-07-03,2020-07-10,7,2,injury,,/benjamin-mendy/profil/spieler/157495
2021,Knock,2020-12-02,2020-12-18,16,4,injury,,/oleksandr-zinchenko/profil/spieler/203853
2021,Quarantine,2020-11-18,2020-11-30,12,3,injury,,/oleksandr-zinchenko/profil/spieler/203853
2021,Knock,2020-09-28,2020-10-20,22,6,injury,,/oleksandr-zinchenko/profil/spieler/203853
2021,Muscle injury,2020-09-20,2020-09-25,5,2,injury,,/oleksandr-zinchenko/profil/spieler/203853
2021,Hip injury,2020-12-03,2020-12-21,18,5,injury,,/callum-hudson-odoi/profil/spieler/392768
2021,Hamstring strain,2021-01-03,2021-02-15,43,12,injury,,/grady-diangana/profil/spieler/342048
2021,Knock,2021-01-27,2021-05-31,124,18,injury,,/james-mcarthur/profil/spieler/41416
2021,Ankle injury,2021-02-05,2021-05-31,115,12,injury,,/alex-cochrane/profil/spieler/392773
2021,Hamstring strain,2021-02-11,2021-02-28,17,5,injury,,/yannick-bolasie/profil/spieler/75471
2021,No eligibility,2020-10-17,2021-01-01,76,12,absence,,/yannick-bolasie/profil/spieler/75471
2021,Head injury,2021-02-11,2021-02-15,4,1,injury,,/issa-diop/profil/spieler/272622
2021,bruise,2021-01-04,2021-01-14,10,1,injury,,/issa-diop/profil/spieler/272622
2021,Corona virus,2020-09-21,2020-10-15,24,4,injury,,/issa-diop/profil/spieler/272622
2021,Head injury,2020-12-31,2021-01-01,1,,injury,,/alexandre-lacazette/profil/spieler/93720
2021,Hamstring injury,2020-10-26,2020-11-06,11,1,injury,,/ben-godfrey/profil/spieler/343475
2021,bruise,2021-01-27,2021-02-05,9,3,injury,,/ashley-barnes/profil/spieler/63200
2021,Virus,2021-01-01,2021-01-16,15,,injury,,/tommy-doyle/profil/spieler/433183
2021,Ankle injury,2020-06-18,2020-10-19,123,20,injury,,/axel-tuanzebe/profil/spieler/342046
2021,Knock,2021-01-21,2021-01-25,4,1,injury,,/kyle-walker/profil/spieler/95424
2021,Corona virus,2020-12-21,2021-01-04,14,3,injury,,/kyle-walker/profil/spieler/95424
2021,Muscle injury,2020-11-26,2020-12-15,19,4,injury,,/percy-tau/profil/spieler/312239
2021,Hamstring injury,2020-12-18,2020-12-25,7,1,injury,,/ivan-cavaleiro/profil/spieler/149716
2021,Thigh problems,2020-10-23,2020-10-30,7,1,injury,,/ivan-cavaleiro/profil/spieler/149716
2021,Groin injury,2020-12-28,2021-02-13,47,11,injury,,/marcal/profil/spieler/137745
2021,Knock,2020-10-26,2020-11-07,12,1,injury,,/marcal/profil/spieler/137745
2021,Calf injury,2020-09-23,2020-10-18,25,2,injury,,/marcal/profil/spieler/137745
2021,Hamstring injury,2021-03-20,2021-04-02,13,7,injury,,/conor-hourihane/profil/spieler/61653
2021,Knee problems,2021-01-28,2021-01-29,1,,injury,,/robert-snodgrass/profil/spieler/22614
2021,Knee injury,2020-12-05,2021-03-09,94,18,injury,,/robin-koch/profil/spieler/328784
2021,Back injury,2020-12-27,2021-01-06,10,3,injury,,/victor-lindelof/profil/spieler/184573
2021,Corona virus,2020-12-26,2021-01-13,18,4,injury,,/gabriel-magalhaes/profil/spieler/435338
2021,Ill,2020-08-01,2020-08-31,30,2,injury,,/gabriel-magalhaes/profil/spieler/435338
2021,Indirect card suspension,2020-12-17,2020-12-19,2,1,suspension,,/gabriel-magalhaes/profil/spieler/435338
2021,Ankle sprain,2020-12-21,2020-12-10,11,,injury,,/cameron-carter-vickers/profil/spieler/341049
2021,Fitness,2020-10-16,2020-11-04,19,6,injury,,/cameron-carter-vickers/profil/spieler/341049
2021,Suspended,2020-09-12,2020-10-05,23,4,suspension,,/cameron-carter-vickers/profil/spieler/341049
2021,Knock,2021-01-28,2021-02-06,9,4,injury,,/romain-saiss/profil/spieler/204198
2021,Virus,2020-11-09,2020-12-05,26,4,injury,,/romain-saiss/profil/spieler/204198
2021,unknown injury,2021-03-05,2021-04-13,39,8,injury,,/cengiz-under/profil/spieler/341647
2021,Ankle injury,2021-01-04,2021-01-15,11,1,injury,,/cengiz-under/profil/spieler/341647
2021,Hamstring strain,2020-12-26,2021-01-02,7,2,injury,,/cengiz-under/profil/spieler/341647
2021,special leave,2021-05-17,2021-05-24,7,2,absence,,/cengiz-under/profil/spieler/341647
2021,Torn muscle fiber,2020-11-18,2020-12-09,21,7,injury,,/moises-caicedo/profil/spieler/687626
2021,Knock,2021-02-04,2021-02-14,10,1,injury,,/ciaran-clark/profil/spieler/98240
2021,Calf injury,2021-01-19,2021-01-29,10,2,injury,,/ciaran-clark/profil/spieler/98240
2021,Hamstring strain,2020-09-25,2020-10-18,23,7,injury,,/ciaran-clark/profil/spieler/98240
2021,Corona virus,2020-12-23,2021-01-04,12,2,injury,,/gabriel-jesus/profil/spieler/363205
2021,Knock,2020-12-16,2020-12-20,4,1,injury,,/gabriel-jesus/profil/spieler/363205
