fixture_id,date,gameweek,home_team,away_team,season,tag,player_id
89,2024-10-27T14:00:00Z,9,WHU,MUN,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
90,2024-10-27T16:30:00Z,9,ARS,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
91,2024-11-02T12:30:00Z,10,NEW,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
92,2024-11-02T15:00:00Z,10,BOU,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
93,2024-11-02T15:00:00Z,10,IPS,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
94,2024-11-02T15:00:00Z,10,LIV,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
95,2024-11-02T15:00:00Z,10,NFO,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
96,2024-11-02T15:00:00Z,10,SOU,EVE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
97,2024-11-02T17:30:00Z,10,WOL,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
98,2024-11-03T14:00:00Z,10,TOT,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
99,2024-11-03T16:30:00Z,10,MUN,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
100,2024-11-04T20:00:00Z,10,FUL,BRE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
101,2024-11-09T15:00:00Z,11,BRE,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
102,2024-11-09T15:00:00Z,11,CRY,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
103,2024-11-09T15:00:00Z,11,WHU,EVE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
104,2024-11-09T15:00:00Z,11,WOL,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
105,2024-11-09T17:30:00Z,11,BHA,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
106,2024-11-09T20:00:00Z,11,LIV,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
107,2024-11-10T14:00:00Z,11,MUN,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
108,2024-11-10T14:00:00Z,11,NFO,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
109,2024-11-10T14:00:00Z,11,TOT,IPS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
110,2024-11-10T16:30:00Z,11,CHE,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
111,2024-11-23T12:30:00Z,12,LEI,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
112,2024-11-23T15:00:00Z,12,ARS,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
113,2024-11-23T15:00:00Z,12,AVL,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
114,2024-11-23T15:00:00Z,12,BOU,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
115,2024-11-23T15:00:00Z,12,EVE,BRE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
116,2024-11-23T15:00:00Z,12,FUL,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
117,2024-11-23T17:30:00Z,12,MCI,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
118,2024-11-24T14:00:00Z,12,SOU,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
119,2024-11-24T16:30:00Z,12,IPS,MUN,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
120,2024-11-25T20:00:00Z,12,NEW,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
121,2024-11-29T20:00:00Z,13,BHA,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
122,2024-11-30T15:00:00Z,13,BRE,LEI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
123,2024-11-30T15:00:00Z,13,CRY,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
124,2024-11-30T15:00:00Z,13,NFO,IPS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
125,2024-11-30T15:00:00Z,13,WOL,BOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
126,2024-11-30T17:30:00Z,13,WHU,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
127,2024-12-01T13:30:00Z,13,CHE,AVL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
128,2024-12-01T13:30:00Z,13,MUN,EVE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
129,2024-12-01T13:30:00Z,13,TOT,FUL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
130,2024-12-01T16:00:00Z,13,LIV,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
131,2024-12-03T19:30:00Z,14,IPS,CRY,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
132,2024-12-03T20:15:00Z,14,LEI,WHU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
133,2024-12-04T19:30:00Z,14,EVE,WOL,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
134,2024-12-04T19:30:00Z,14,MCI,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
135,2024-12-04T19:30:00Z,14,NEW,LIV,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
136,2024-12-04T19:30:00Z,14,SOU,CHE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
137,2024-12-04T20:15:00Z,14,ARS,MUN,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
138,2024-12-04T20:15:00Z,14,AVL,BRE,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
139,2024-12-05T19:30:00Z,14,FUL,BHA,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
140,2024-12-05T20:15:00Z,14,BOU,TOT,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
141,2024-12-07T15:00:00Z,15,AVL,SOU,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
142,2024-12-07T15:00:00Z,15,BRE,NEW,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
143,2024-12-07T15:00:00Z,15,CRY,MCI,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
144,2024-12-07T17:30:00Z,15,MUN,NFO,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
145,2024-12-08T14:00:00Z,15,FUL,ARS,2425,801cc507-fad4-4263-8d8a-86539b4720ee,
