season,details,reason,from,until,days,games,player,url
2122,Adductor problems,injury,2022-03-23,2022-04-01,9,,Fabian Schär,/fabian-schar/profil/spieler/135343
2122,Transferred to Arsenal U23,Transfer,2021-07-01,2022-06-30,,,Arthur Okonkwo,/arthur-okonkwo/profil/spieler/503769
2122,Hamstring Injury,injury,2021-12-05,2022-03-14,99,16,Liam Cooper,/liam-cooper/profil/spieler/75067
2122,Dead Leg,injury,2021-06-30,2021-07-05,5,,Bukayo Saka,/bukayo-saka/profil/spieler/433177
2122,Groin Injury,injury,2022-02-18,2022-04-08,49,6,Adam Webster,/adam-webster/profil/spieler/212847
2122,Calf Injury,injury,2021-12-01,2021-12-25,24,3,Adam Webster,/adam-webster/profil/spieler/212847
2122,Hamstring Injury,injury,2021-09-11,2021-10-18,37,6,Adam Webster,/adam-webster/profil/spieler/212847
2122,Fibula Fracture,injury,2021-08-04,2022-03-15,223,41,Wesley Fofana,/wesley-fofana/profil/spieler/475411
2122,Transferred to Huddersfield,Transfer,2021-07-28,2022-05-30,,,Danel Sinani,/danel-sinani/profil/spieler/346499
2122,Transferred to Man City U23,Transfer,2021-07-01,2022-06-30,,,James McAtee,/james-mcatee/profil/spieler/583199
2122,Knee Injury,injury,2021-07-06,2021-08-25,50,3,Gabriel Magalhães,/gabriel-magalhaes/profil/spieler/435338
2122,Transferred to Grasshoppers,Transfer,2022-01-31,2022-06-29,,,Bruno Jordão,/bruno-jordao/profil/spieler/415646
2122,Fracture-dislocation of the ankle,injury,2021-09-13,2022-01-31,140,30,Harvey Elliott,/harvey-elliott/profil/spieler/565822
2122,Transferred to Tottenham U23,Transfer,2021-07-01,2022-06-30,,,Dane Scarlett,/dane-scarlett/profil/spieler/670883
2122,Corona virus,injury,2022-04-14,2022-04-19,5,1,Alexandre Lacazette,/alexandre-lacazette/profil/spieler/93720
2122,Ill,injury,2021-08-01,2021-08-24,23,2,Alexandre Lacazette,/alexandre-lacazette/profil/spieler/93720
2122,Transferred to Without Club,Transfer,2021-07-01,2021-12-05,,,Willy Caballero,/willy-caballero/profil/spieler/19948
2122,Transferred to Tottenham U23,Transfer,2021-07-01,2022-06-30,,,Malachi Fagan-Walcott,/malachi-fagan-walcott/profil/spieler/554173
2122,Transferred to CSKA Moscow,Transfer,2022-02-21,2022-06-29,,,Jean-Philippe Gbamin,/jean-philippe-gbamin/profil/spieler/182894
2122,Knee Surgery,injury,2021-12-28,2022-04-20,113,15,Isaac Hayden,/isaac-hayden/profil/spieler/206225
2122,Foot Injury,injury,2022-04-06,2022-04-18,12,2,Scott McTominay,/scott-mctominay/profil/spieler/315969
2122,Ill,injury,2022-02-22,2022-03-02,8,2,Scott McTominay,/scott-mctominay/profil/spieler/315969
2122,Groin Injury,injury,2021-08-26,2021-09-16,21,3,Scott McTominay,/scott-mctominay/profil/spieler/315969
2122,Thigh muscle rupture,injury,2022-03-07,2022-05-27,81,11,Tyler Roberts,/tyler-roberts/profil/spieler/296986
2122,Corona virus,injury,2021-08-29,2021-09-09,11,1,Mateusz Klich,/mateusz-klich/profil/spieler/92738
2122,Hamstring Injury,injury,2022-01-21,2022-04-05,74,12,Fabian Delph,/fabian-delph/profil/spieler/50362
2122,Shoulder Injury,injury,2021-08-27,2021-10-25,59,8,Fabian Delph,/fabian-delph/profil/spieler/50362
2122,Corona virus,injury,2022-01-05,2022-01-11,6,2,Thiago Silva,/thiago-silva/profil/spieler/29241
2122,Knee Problems,injury,2021-12-26,2021-12-31,5,2,Thiago Silva,/thiago-silva/profil/spieler/29241
2122,Ankle Injury,injury,2021-08-01,2022-07-28,361,2,Tudor Baluta,/tudor-baluta/profil/spieler/433976
2122,Fractured Toe,injury,2021-08-28,2021-12-31,125,16,Dominic Calvert-Lewin,/dominic-calvert-lewin/profil/spieler/306024
2122,Thigh muscle rupture,injury,2022-03-10,2022-05-23,74,14,Cenk Tosun,/cenk-tosun/profil/spieler/45671
2122,Transferred to Liverpool U18,Transfer,2021-07-01,2022-06-30,,,Harvey Blair,/harvey-blair/profil/spieler/707164
2122,Knee Injury,injury,2021-09-27,2022-02-28,154,21,Peter Etebo,/peter-etebo/profil/spieler/409106
2122,Transferred to Stoke City,Transfer,2021-07-01,2021-07-08,,,Peter Etebo,/peter-etebo/profil/spieler/409106
2122,Transferred to Stoke City,Transfer,2022-05-31,2022-06-30,,,Peter Etebo,/peter-etebo/profil/spieler/409106
