season,absence/suspension,competition,from,until,days,games,player,url
1819,Red card suspension, ,2018-08-26,2018-09-16,21,3,Jonathan Hogg,/jonathan-hogg/profil/spieler/61573
1819,Indirect card suspension,Serie A,2019-01-22,2019-01-28,6,1,Edimilson Fernandes,/edimilson-fernandes/profil/spieler/247555
1819,Yellow card suspension,Serie A,2018-12-11,2018-12-17,6,1,Edimilson Fernandes,/edimilson-fernandes/profil/spieler/247555
1819,Indirect card suspension,Premier League,2018-12-09,2018-12-15,6,1,André Zambo Anguissa,/andre-zambo-anguissa/profil/spieler/354361
1819,Red card suspension,Serie A,2019-04-02,2019-04-07,5,2,Ola Aina,/ola-aina/profil/spieler/236490
1819,Yellow card suspension,Serie A,2019-03-19,2019-04-01,13,1,Ola Aina,/ola-aina/profil/spieler/236490
1819,Indirect card suspension,Premier Liga,2019-04-29,2019-05-06,7,1,Nikola Vlasic,/nikola-vlasic/profil/spieler/293200
1819,Indirect card suspension,Premier League,2019-01-30,2019-02-02,3,1,Wilfried Zaha,/wilfried-zaha/profil/spieler/145988
1819,Yellow card suspension,Premier League,2018-12-09,2018-12-16,7,1,Wilfried Zaha,/wilfried-zaha/profil/spieler/145988
1819,Yellow card suspension,LaLiga,2019-04-21,2019-04-25,4,1,Sofiane Boufal,/sofiane-boufal/profil/spieler/232271
1819,Yellow card suspension,Premier League,2018-11-11,2018-11-25,14,1,Robert Snodgrass,/robert-snodgrass/profil/spieler/22614
1819,Yellow card suspension,LaLiga,2019-03-17,2019-03-31,14,1,Kenneth Omeruo,/kenneth-omeruo/profil/spieler/131708
1819,Indirect card suspension,Premier League,2019-04-11,2019-04-14,3,1,Ashley Young,/ashley-young/profil/spieler/14086
1819,Yellow card suspension,Premier League,2018-12-02,2018-12-06,4,1,Ashley Young,/ashley-young/profil/spieler/14086
1819,Red card suspension, ,2018-12-27,2019-01-06,10,3,Leandro Bacuna,/leandro-bacuna/profil/spieler/126014
1819,Yellow card suspension,Premier League,2019-02-24,2019-03-03,7,2,Jefferson Lerma,/jefferson-lerma/profil/spieler/262980
1819,Yellow card suspension,Premier League,2019-03-10,2019-04-02,23,2,Fabian Schär,/fabian-schar/profil/spieler/135343
1819,Yellow card suspension,Premier League,2018-12-03,2018-12-10,7,1,Fabian Schär,/fabian-schar/profil/spieler/135343
1819,special leave,Premier League,2019-04-19,2019-04-21,2,1,Tom Cairney,/tom-cairney/profil/spieler/123275
1819,Red card suspension,Europa League,2019-02-15,2019-03-12,25,2,Alexandre Lacazette,/alexandre-lacazette/profil/spieler/93720
