season,details,from,until,days,games,reason,player,url
1819,Calf Strain,2019-03-23,2019-03-29,6,,injury,Jóhann Berg Gudmundsson,/johann-berg-gudmundsson/profil/spieler/89231
1819,Thigh Muscle Strain,2019-02-03,2019-02-22,19,1,injury,Jóhann Berg Gudmundsson,/johann-berg-gudmundsson/profil/spieler/89231
1819,Foot Injury,2019-01-20,2019-01-29,9,,injury,Harry Maguire,/harry-maguire/profil/spieler/177907
1819,Knee Injury,2018-11-03,2018-12-08,35,7,injury,Harry Maguire,/harry-maguire/profil/spieler/177907
1819,Red card suspension,2019-03-17,2019-03-31,14,1,suspension,Harry Maguire,/harry-maguire/profil/spieler/177907
1819,Ankle Injury,2019-01-28,2019-02-03,6,1,injury,Lucas Pérez,/lucas-perez/profil/spieler/73185
1819,Foot Injury,2018-12-09,2018-12-26,17,2,injury,Lucas Pérez,/lucas-perez/profil/spieler/73185
1819,Knock,2018-08-09,2018-08-17,8,1,injury,Lucas Pérez,/lucas-perez/profil/spieler/73185
1819,Knock,2019-04-14,2019-04-19,5,,injury,Frank Anguissa,/frank-anguissa/profil/spieler/354361
1819,Ankle Injury,2018-12-14,2019-02-08,56,10,injury,Frank Anguissa,/frank-anguissa/profil/spieler/354361
1819,Ankle Injury,2018-11-15,2018-12-05,20,3,injury,Frank Anguissa,/frank-anguissa/profil/spieler/354361
1819,Knock,2018-08-09,2018-08-17,8,1,injury,Frank Anguissa,/frank-anguissa/profil/spieler/354361
1819,Indirect card suspension,2018-12-09,2018-12-15,6,1,suspension,Frank Anguissa,/frank-anguissa/profil/spieler/354361
1819,Transferred to Marseille,2018-07-01,2018-08-08,,,Transfer,Frank Anguissa,/frank-anguissa/profil/spieler/354361
1819,Cruciate Ligament Rupture,2019-03-30,2019-12-29,274,55,injury,Bartosz Kapustka,/bartosz-kapustka/profil/spieler/246579
1819,Transferred to OH Leuven,2018-08-31,2019-04-01,,,Transfer,Bartosz Kapustka,/bartosz-kapustka/profil/spieler/246579
1819,Cruciate Ligament Rupture,2018-10-31,,1678,,injury,Sam McQueen,/sam-mcqueen/profil/spieler/226968
1819,Transferred to Middlesbrough,2018-08-30,2019-05-30,,,Transfer,Sam McQueen,/sam-mcqueen/profil/spieler/226968
1819,Transferred to Sevilla FC,2018-07-01,2018-08-08,,,Transfer,Sergio Rico,/sergio-rico/profil/spieler/207302
1819,Transferred to Sevilla FC,2019-06-30,2019-06-30,,,Transfer,Sergio Rico,/sergio-rico/profil/spieler/207302
1819,Concussion,2019-01-31,2019-02-08,8,1,injury,Pierre-Emile Höjbjerg,/pierre-emile-hojbjerg/profil/spieler/167799
1819,Ill,2018-10-26,2018-11-03,8,1,injury,Pierre-Emile Höjbjerg,/pierre-emile-hojbjerg/profil/spieler/167799
1819,Yellow card suspension,2018-12-24,2018-12-31,7,1,suspension,Pierre-Emile Höjbjerg,/pierre-emile-hojbjerg/profil/spieler/167799
1819,Transferred to Monaco,2018-07-01,2019-01-30,,,Transfer,Youri Tielemans,/youri-tielemans/profil/spieler/249565
1819,Transferred to Monaco,2019-06-30,2019-06-30,,,Transfer,Youri Tielemans,/youri-tielemans/profil/spieler/249565
1819,Ankle Injury,2019-03-15,2019-04-02,18,2,injury,Davide Zappacosta,/davide-zappacosta/profil/spieler/173859
1819,Knock,2019-02-20,2019-03-09,17,5,injury,Davide Zappacosta,/davide-zappacosta/profil/spieler/173859
1819,Cruciate Ligament Rupture,2019-03-08,2019-05-31,84,12,injury,Ezequiel Schelotto,/ezequiel-schelotto/profil/spieler/119164
1819,Transferred to Chievo Verona,2019-01-28,2019-06-29,,,Transfer,Ezequiel Schelotto,/ezequiel-schelotto/profil/spieler/119164
1819,Knee Surgery,2018-08-29,2019-04-08,222,39,injury,Sam Byram,/sam-byram/profil/spieler/236953
1819,Transferred to Nottm Forest,2018-08-10,2019-05-30,,,Transfer,Sam Byram,/sam-byram/profil/spieler/236953
1819,Transferred to FC Viitorul,2018-07-01,2019-01-30,,,Transfer,Tudor Baluta,/tudor-baluta/profil/spieler/433976
1819,Transferred to FC Viitorul,2019-02-01,2019-06-29,,,Transfer,Tudor Baluta,/tudor-baluta/profil/spieler/433976
1819,Ill,2019-02-03,2019-02-22,19,1,injury,Jonas Lössl,/jonas-lossl/profil/spieler/48870
1819,Knock,2018-11-11,2018-11-24,13,,injury,Jonas Lössl,/jonas-lossl/profil/spieler/48870
1819,Ligament Injury,2019-05-31,2019-07-05,35,,injury,Bernd Leno,/bernd-leno/profil/spieler/72476
1819,Ankle Injury,2019-01-26,2019-03-16,49,12,injury,Filip Benkovic,/filip-benkovic/profil/spieler/293168
1819,Transferred to Dinamo Zagreb,2018-07-01,2018-08-08,,,Transfer,Filip Benkovic,/filip-benkovic/profil/spieler/293168
1819,Transferred to Celtic,2018-08-31,2019-06-29,,,Transfer,Filip Benkovic,/filip-benkovic/profil/spieler/293168
1819,Transferred to Melbourne City,2018-07-01,2018-12-30,,,Transfer,Anthony Cáceres,/anthony-caceres/profil/spieler/226739
1819,Transferred to Sydney FC,2019-01-02,2019-06-29,,,Transfer,Anthony Cáceres,/anthony-caceres/profil/spieler/226739
1819,Knee Surgery,2018-09-26,2019-04-29,215,34,injury,Carlos Sánchez,/carlos-sanchez/profil/spieler/51226
1819,Transferred to Fiorentina,2018-07-01,2018-08-08,,,Transfer,Carlos Sánchez,/carlos-sanchez/profil/spieler/51226
1819,Ill,2019-04-28,2019-05-11,13,1,injury,Declan Rice,/declan-rice/profil/spieler/357662
1819,Knee Injury,2019-01-04,2019-05-11,127,24,injury,Antonio Valencia,/antonio-valencia/profil/spieler/33544
1819,Knock,2018-11-16,2018-12-04,18,3,injury,Antonio Valencia,/antonio-valencia/profil/spieler/33544
1819,Knee Injury,2018-10-04,2018-11-12,39,7,injury,Antonio Valencia,/antonio-valencia/profil/spieler/33544
1819,Calf Strain,2018-07-22,2018-08-27,36,3,injury,Antonio Valencia,/antonio-valencia/profil/spieler/33544
1819,Transferred to Stoke City,2019-01-31,2019-06-30,,,Transfer,Sam Vokes,/sam-vokes/profil/spieler/48078
1819,Knock,2018-10-13,2018-11-24,42,5,injury,Jonjoe Kenny,/jonjoe-kenny/profil/spieler/258883
1819,Knock,2019-05-06,2019-05-31,25,1,injury,Chris Löwe,/chris-lowe/profil/spieler/55125
1819,Ill,2019-02-03,2019-02-22,19,1,injury,Chris Löwe,/chris-lowe/profil/spieler/55125
1819,Shoulder Injury,2018-11-10,2018-12-08,28,5,injury,Chris Löwe,/chris-lowe/profil/spieler/55125
